Instructions for case number 1:
1: Number 1 cannot be at (0,0); reason: discovered number 8 in its place; possiblities left: [8].
296: Number 3 cannot be at (0,7); reason: discovered the number 3 at the same column at position (5,7); possiblities left: [4].
297: Number 3 cannot be at (2,7); reason: discovered the number 3 at the same column at position (5,7); possiblities left: [8].
298: Number 3 cannot be at (3,7); reason: discovered the number 3 at the same column at position (5,7); possiblities left: [9].
299: Number 3 cannot be at (4,7); reason: discovered the number 3 at the same column at position (5,7); possiblities left: [2].
300: Number 3 cannot be at (6,7); reason: discovered the number 3 at the same column at position (5,7); possiblities left: [6].
301: Number 3 cannot be at (7,7); reason: discovered the number 3 at the same column at position (5,7); possiblities left: [1].
302: Number 3 cannot be at (8,7); reason: discovered the number 3 at the same column at position (5,7); possiblities left: [5].
303: Number 3 cannot be at (3,6); reason: discovered the number 3 at the same quadrant at position (5,7); possiblities left: [8].
304: Number 3 cannot be at (3,8); reason: discovered the number 3 at the same quadrant at position (5,7); possiblities left: [6].
305: Number 3 cannot be at (4,8); reason: discovered the number 3 at the same quadrant at position (5,7); possiblities left: [1].
306: Number 2 cannot be at (6,2); reason: discovered number 1 in its place; possiblities left: [1].
307: Number 4 cannot be at (6,2); reason: discovered number 1 in its place; possiblities left: [1].
308: Number 5 cannot be at (6,2); reason: discovered number 1 in its place; possiblities left: [1].
309: Number 6 cannot be at (6,2); reason: discovered number 1 in its place; possiblities left: [1].
310: Number 7 cannot be at (6,2); reason: discovered number 1 in its place; possiblities left: [1].
311: Number 8 cannot be at (6,2); reason: discovered number 1 in its place; possiblities left: [1].
312: Number 9 cannot be at (6,2); reason: discovered number 1 in its place; possiblities left: [1].
313: Number 1 cannot be at (6,0); reason: discovered the number 1 at the same row at position (6,2); possiblities left: [5].
314: Number 1 cannot be at (6,1); reason: discovered the number 1 at the same row at position (6,2); possiblities left: [2].
315: Number 1 cannot be at (6,4); reason: discovered the number 1 at the same row at position (6,2); possiblities left: [7].
316: Number 1 cannot be at (6,5); reason: discovered the number 1 at the same row at position (6,2); possiblities left: [4].
317: Number 1 cannot be at (6,6); reason: discovered the number 1 at the same row at position (6,2); possiblities left: [3].
318: Number 1 cannot be at (6,7); reason: discovered the number 1 at the same row at position (6,2); possiblities left: [6].
319: Number 1 cannot be at (6,8); reason: discovered the number 1 at the same row at position (6,2); possiblities left: [8].
320: Number 1 cannot be at (0,2); reason: discovered the number 1 at the same column at position (6,2); possiblities left: [2].
321: Number 1 cannot be at (2,2); reason: discovered the number 1 at the same column at position (6,2); possiblities left: [5].
322: Number 1 cannot be at (3,2); reason: discovered the number 1 at the same column at position (6,2); possiblities left: [4].
323: Number 1 cannot be at (4,2); reason: discovered the number 1 at the same column at position (6,2); possiblities left: [9].
324: Number 1 cannot be at (7,2); reason: discovered the number 1 at the same column at position (6,2); possiblities left: [8].
325: Number 1 cannot be at (8,2); reason: discovered the number 1 at the same column at position (6,2); possiblities left: [6].
326: Number 1 cannot be at (7,0); reason: discovered the number 1 at the same quadrant at position (6,2); possiblities left: [4].
327: Number 1 cannot be at (7,1); reason: discovered the number 1 at the same quadrant at position (6,2); possiblities left: [3].
328: Number 1 cannot be at (8,0); reason: discovered the number 1 at the same quadrant at position (6,2); possiblities left: [7].
329: Number 1 cannot be at (8,1); reason: discovered the number 1 at the same quadrant at position (6,2); possiblities left: [9].
330: Number 2 cannot be at (6,7); reason: discovered number 6 in its place; possiblities left: [6].
331: Number 4 cannot be at (6,7); reason: discovered number 6 in its place; possiblities left: [6].
332: Number 5 cannot be at (6,7); reason: discovered number 6 in its place; possiblities left: [6].
333: Number 7 cannot be at (6,7); reason: discovered number 6 in its place; possiblities left: [6].
334: Number 8 cannot be at (6,7); reason: discovered number 6 in its place; possiblities left: [6].
335: Number 9 cannot be at (6,7); reason: discovered number 6 in its place; possiblities left: [6].
336: Number 6 cannot be at (6,0); reason: discovered the number 6 at the same row at position (6,7); possiblities left: [5].
337: Number 6 cannot be at (6,1); reason: discovered the number 6 at the same row at position (6,7); possiblities left: [2].
338: Number 6 cannot be at (6,4); reason: discovered the number 6 at the same row at position (6,7); possiblities left: [7].
339: Number 6 cannot be at (6,5); reason: discovered the number 6 at the same row at position (6,7); possiblities left: [4].
340: Number 6 cannot be at (6,6); reason: discovered the number 6 at the same row at position (6,7); possiblities left: [3].
341: Number 6 cannot be at (6,8); reason: discovered the number 6 at the same row at position (6,7); possiblities left: [8].
342: Number 6 cannot be at (0,7); reason: discovered the number 6 at the same column at position (6,7); possiblities left: [4].
343: Number 6 cannot be at (2,7); reason: discovered the number 6 at the same column at position (6,7); possiblities left: [8].
344: Number 6 cannot be at (3,7); reason: discovered the number 6 at the same column at position (6,7); possiblities left: [9].
345: Number 6 cannot be at (4,7); reason: discovered the number 6 at the same column at position (6,7); possiblities left: [2].
346: Number 6 cannot be at (7,7); reason: discovered the number 6 at the same column at position (6,7); possiblities left: [1].
347: Number 6 cannot be at (8,7); reason: discovered the number 6 at the same column at position (6,7); possiblities left: [5].
348: Number 6 cannot be at (7,6); reason: discovered the number 6 at the same quadrant at position (6,7); possiblities left: [9].
349: Number 6 cannot be at (7,8); reason: discovered the number 6 at the same quadrant at position (6,7); possiblities left: [7].
350: Number 6 cannot be at (8,6); reason: discovered the number 6 at the same quadrant at position (6,7); possiblities left: [4].
351: Number 6 cannot be at (8,8); reason: discovered the number 6 at the same quadrant at position (6,7); possiblities left: [2].
352: Number 2 cannot be at (6,8); reason: discovered number 8 in its place; possiblities left: [8].
353: Number 3 cannot be at (6,8); reason: discovered number 8 in its place; possiblities left: [8].
354: Number 4 cannot be at (6,8); reason: discovered number 8 in its place; possiblities left: [8].
355: Number 5 cannot be at (6,8); reason: discovered number 8 in its place; possiblities left: [8].
356: Number 7 cannot be at (6,8); reason: discovered number 8 in its place; possiblities left: [8].
357: Number 9 cannot be at (6,8); reason: discovered number 8 in its place; possiblities left: [8].
358: Number 8 cannot be at (6,1); reason: discovered the number 8 at the same row at position (6,8); possiblities left: [2].
359: Number 8 cannot be at (6,3); reason: discovered the number 8 at the same row at position (6,8); possiblities left: [9].
360: Number 8 cannot be at (6,4); reason: discovered the number 8 at the same row at position (6,8); possiblities left: [7].
361: Number 8 cannot be at (6,5); reason: discovered the number 8 at the same row at position (6,8); possiblities left: [4].
362: Number 8 cannot be at (6,6); reason: discovered the number 8 at the same row at position (6,8); possiblities left: [3].
363: Number 8 cannot be at (1,8); reason: discovered the number 8 at the same column at position (6,8); possiblities left: [5].
364: Number 8 cannot be at (2,8); reason: discovered the number 8 at the same column at position (6,8); possiblities left: [3].
365: Number 8 cannot be at (3,8); reason: discovered the number 8 at the same column at position (6,8); possiblities left: [6].
366: Number 8 cannot be at (4,8); reason: discovered the number 8 at the same column at position (6,8); possiblities left: [1].
367: Number 8 cannot be at (5,8); reason: discovered the number 8 at the same column at position (6,8); possiblities left: [4].
368: Number 8 cannot be at (7,8); reason: discovered the number 8 at the same column at position (6,8); possiblities left: [7].
369: Number 8 cannot be at (8,8); reason: discovered the number 8 at the same column at position (6,8); possiblities left: [2].
370: Number 8 cannot be at (7,6); reason: discovered the number 8 at the same quadrant at position (6,8); possiblities left: [9].
371: Number 8 cannot be at (7,7); reason: discovered the number 8 at the same quadrant at position (6,8); possiblities left: [1].
372: Number 8 cannot be at (8,6); reason: discovered the number 8 at the same quadrant at position (6,8); possiblities left: [4].
373: Number 8 cannot be at (8,7); reason: discovered the number 8 at the same quadrant at position (6,8); possiblities left: [5].
374: Number 2 cannot be at (7,2); reason: discovered number 8 in its place; possiblities left: [8].
375: Number 4 cannot be at (7,2); reason: discovered number 8 in its place; possiblities left: [8].
376: Number 5 cannot be at (7,2); reason: discovered number 8 in its place; possiblities left: [8].
377: Number 6 cannot be at (7,2); reason: discovered number 8 in its place; possiblities left: [8].
378: Number 7 cannot be at (7,2); reason: discovered number 8 in its place; possiblities left: [8].
379: Number 9 cannot be at (7,2); reason: discovered number 8 in its place; possiblities left: [8].
380: Number 8 cannot be at (7,1); reason: discovered the number 8 at the same row at position (7,2); possiblities left: [3].
381: Number 8 cannot be at (7,3); reason: discovered the number 8 at the same row at position (7,2); possiblities left: [5].
382: Number 8 cannot be at (7,4); reason: discovered the number 8 at the same row at position (7,2); possiblities left: [2].
383: Number 8 cannot be at (7,5); reason: discovered the number 8 at the same row at position (7,2); possiblities left: [6].
384: Number 8 cannot be at (3,2); reason: discovered the number 8 at the same column at position (7,2); possiblities left: [4].
385: Number 8 cannot be at (4,2); reason: discovered the number 8 at the same column at position (7,2); possiblities left: [9].
386: Number 8 cannot be at (5,2); reason: discovered the number 8 at the same column at position (7,2); possiblities left: [7].
387: Number 8 cannot be at (8,2); reason: discovered the number 8 at the same column at position (7,2); possiblities left: [6].
388: Number 8 cannot be at (8,1); reason: discovered the number 8 at the same quadrant at position (7,2); possiblities left: [9].
389: Number 2 cannot be at (7,3); reason: discovered number 5 in its place; possiblities left: [5].
390: Number 3 cannot be at (7,3); reason: discovered number 5 in its place; possiblities left: [5].
391: Number 4 cannot be at (7,3); reason: discovered number 5 in its place; possiblities left: [5].
392: Number 7 cannot be at (7,3); reason: discovered number 5 in its place; possiblities left: [5].
393: Number 9 cannot be at (7,3); reason: discovered number 5 in its place; possiblities left: [5].
394: Number 5 cannot be at (7,0); reason: discovered the number 5 at the same row at position (7,3); possiblities left: [4].
395: Number 5 cannot be at (7,4); reason: discovered the number 5 at the same row at position (7,3); possiblities left: [2].
396: Number 5 cannot be at (7,6); reason: discovered the number 5 at the same row at position (7,3); possiblities left: [9].
397: Number 5 cannot be at (7,7); reason: discovered the number 5 at the same row at position (7,3); possiblities left: [1].
398: Number 5 cannot be at (7,8); reason: discovered the number 5 at the same row at position (7,3); possiblities left: [7].
399: Number 5 cannot be at (0,3); reason: discovered the number 5 at the same column at position (7,3); possiblities left: [7].
400: Number 5 cannot be at (2,3); reason: discovered the number 5 at the same column at position (7,3); possiblities left: [4].
401: Number 5 cannot be at (6,3); reason: discovered the number 5 at the same column at position (7,3); possiblities left: [9].
402: Number 5 cannot be at (8,3); reason: discovered the number 5 at the same column at position (7,3); possiblities left: [3].
403: Number 5 cannot be at (6,4); reason: discovered the number 5 at the same quadrant at position (7,3); possiblities left: [7].
404: Number 5 cannot be at (8,4); reason: discovered the number 5 at the same quadrant at position (7,3); possiblities left: [1].
405: Number 2 cannot be at (7,7); reason: discovered number 1 in its place; possiblities left: [1].
406: Number 4 cannot be at (7,7); reason: discovered number 1 in its place; possiblities left: [1].
407: Number 7 cannot be at (7,7); reason: discovered number 1 in its place; possiblities left: [1].
408: Number 9 cannot be at (7,7); reason: discovered number 1 in its place; possiblities left: [1].
409: Number 1 cannot be at (7,4); reason: discovered the number 1 at the same row at position (7,7); possiblities left: [2].
410: Number 1 cannot be at (7,5); reason: discovered the number 1 at the same row at position (7,7); possiblities left: [6].
411: Number 1 cannot be at (7,6); reason: discovered the number 1 at the same row at position (7,7); possiblities left: [9].
412: Number 1 cannot be at (7,8); reason: discovered the number 1 at the same row at position (7,7); possiblities left: [7].
413: Number 1 cannot be at (0,7); reason: discovered the number 1 at the same column at position (7,7); possiblities left: [4].
414: Number 1 cannot be at (1,7); reason: discovered the number 1 at the same column at position (7,7); possiblities left: [7].
415: Number 1 cannot be at (2,7); reason: discovered the number 1 at the same column at position (7,7); possiblities left: [8].
416: Number 1 cannot be at (3,7); reason: discovered the number 1 at the same column at position (7,7); possiblities left: [9].
417: Number 1 cannot be at (4,7); reason: discovered the number 1 at the same column at position (7,7); possiblities left: [2].
418: Number 1 cannot be at (8,7); reason: discovered the number 1 at the same column at position (7,7); possiblities left: [5].
419: Number 1 cannot be at (8,6); reason: discovered the number 1 at the same quadrant at position (7,7); possiblities left: [4].
420: Number 1 cannot be at (8,8); reason: discovered the number 1 at the same quadrant at position (7,7); possiblities left: [2].
421: Number 2 cannot be at (8,1); reason: discovered number 9 in its place; possiblities left: [9].
422: Number 3 cannot be at (8,1); reason: discovered number 9 in its place; possiblities left: [9].
423: Number 4 cannot be at (8,1); reason: discovered number 9 in its place; possiblities left: [9].
424: Number 6 cannot be at (8,1); reason: discovered number 9 in its place; possiblities left: [9].
425: Number 9 cannot be at (8,0); reason: discovered the number 9 at the same row at position (8,1); possiblities left: [7].
426: Number 9 cannot be at (8,2); reason: discovered the number 9 at the same row at position (8,1); possiblities left: [6].
427: Number 9 cannot be at (8,3); reason: discovered the number 9 at the same row at position (8,1); possiblities left: [3].
428: Number 9 cannot be at (8,5); reason: discovered the number 9 at the same row at position (8,1); possiblities left: [8].
429: Number 9 cannot be at (8,6); reason: discovered the number 9 at the same row at position (8,1); possiblities left: [4].
430: Number 9 cannot be at (8,7); reason: discovered the number 9 at the same row at position (8,1); possiblities left: [5].
431: Number 9 cannot be at (8,8); reason: discovered the number 9 at the same row at position (8,1); possiblities left: [2].
432: Number 9 cannot be at (0,1); reason: discovered the number 9 at the same column at position (8,1); possiblities left: [1].
433: Number 9 cannot be at (1,1); reason: discovered the number 9 at the same column at position (8,1); possiblities left: [4].
434: Number 9 cannot be at (4,1); reason: discovered the number 9 at the same column at position (8,1); possiblities left: [6].
435: Number 9 cannot be at (5,1); reason: discovered the number 9 at the same column at position (8,1); possiblities left: [8].
436: Number 9 cannot be at (6,1); reason: discovered the number 9 at the same column at position (8,1); possiblities left: [2].
437: Number 9 cannot be at (7,1); reason: discovered the number 9 at the same column at position (8,1); possiblities left: [3].
438: Number 9 cannot be at (6,0); reason: discovered the number 9 at the same quadrant at position (8,1); possiblities left: [5].
439: Number 9 cannot be at (7,0); reason: discovered the number 9 at the same quadrant at position (8,1); possiblities left: [4].
440: Number 3 cannot be at (8,6); reason: discovered number 4 in its place; possiblities left: [4].
441: Number 5 cannot be at (8,6); reason: discovered number 4 in its place; possiblities left: [4].
442: Number 4 cannot be at (8,0); reason: discovered the number 4 at the same row at position (8,6); possiblities left: [7].
443: Number 4 cannot be at (8,2); reason: discovered the number 4 at the same row at position (8,6); possiblities left: [6].
444: Number 4 cannot be at (8,3); reason: discovered the number 4 at the same row at position (8,6); possiblities left: [3].
445: Number 4 cannot be at (8,5); reason: discovered the number 4 at the same row at position (8,6); possiblities left: [8].
446: Number 4 cannot be at (8,7); reason: discovered the number 4 at the same row at position (8,6); possiblities left: [5].
447: Number 4 cannot be at (8,8); reason: discovered the number 4 at the same row at position (8,6); possiblities left: [2].
448: Number 4 cannot be at (0,6); reason: discovered the number 4 at the same column at position (8,6); possiblities left: [6].
449: Number 4 cannot be at (1,6); reason: discovered the number 4 at the same column at position (8,6); possiblities left: [1].
450: Number 4 cannot be at (3,6); reason: discovered the number 4 at the same column at position (8,6); possiblities left: [8].
451: Number 4 cannot be at (5,6); reason: discovered the number 4 at the same column at position (8,6); possiblities left: [5].
452: Number 4 cannot be at (6,6); reason: discovered the number 4 at the same column at position (8,6); possiblities left: [3].
453: Number 4 cannot be at (7,6); reason: discovered the number 4 at the same column at position (8,6); possiblities left: [9].
454: Number 4 cannot be at (7,8); reason: discovered the number 4 at the same quadrant at position (8,6); possiblities left: [7].
455: Number 3 cannot be at (7,6); reason: failed guess with reason: 2 possibilities at cell; discoveries: 22; possiblities left: [9].
456: Discovered number 9 at position (7,6); reason: it is the last possibility for the cell; discoveries: 22.
457: Number 9 cannot be at (7,5); reason: discovered the number 9 at the same row at position (7,6); possiblities left: [6].
458: Number 9 cannot be at (7,8); reason: discovered the number 9 at the same row at position (7,6); possiblities left: [7].
459: Number 9 cannot be at (0,6); reason: discovered the number 9 at the same column at position (7,6); possiblities left: [6].
460: Number 9 cannot be at (1,6); reason: discovered the number 9 at the same column at position (7,6); possiblities left: [1].
461: Number 9 cannot be at (3,6); reason: discovered the number 9 at the same column at position (7,6); possiblities left: [8].
462: Number 9 cannot be at (5,6); reason: discovered the number 9 at the same column at position (7,6); possiblities left: [5].
463: Number 9 cannot be at (6,6); reason: discovered the number 9 at the same column at position (7,6); possiblities left: [3].
464: Discovered number 3 at position (6,6); reason: guess with reason: 2 possibilities at cell; discoveries: 23.
465: Number 5 cannot be at (6,6); reason: discovered number 3 in its place; possiblities left: [3].
466: Discovered number 5 at position (6,0); reason: it is the last possibility for the row; discoveries: 24.
467: Number 3 cannot be at (6,0); reason: discovered the number 3 at the same row at position (6,6); possiblities left: [5].
468: Number 3 cannot be at (6,1); reason: discovered the number 3 at the same row at position (6,6); possiblities left: [2].
469: Number 3 cannot be at (6,3); reason: discovered the number 3 at the same row at position (6,6); possiblities left: [9].
470: Number 3 cannot be at (6,4); reason: discovered the number 3 at the same row at position (6,6); possiblities left: [7].
471: Number 3 cannot be at (6,5); reason: discovered the number 3 at the same row at position (6,6); possiblities left: [4].
472: Number 3 cannot be at (0,6); reason: discovered the number 3 at the same column at position (6,6); possiblities left: [6].
473: Number 3 cannot be at (7,8); reason: discovered the number 3 at the same quadrant at position (6,6); possiblities left: [7].
474: Number 3 cannot be at (8,8); reason: discovered the number 3 at the same quadrant at position (6,6); possiblities left: [2].
475: Number 5 cannot be at (8,0); reason: row 6 definitely has this number in this quadrant; possiblities left: [7].
476: Number 5 cannot be at (8,2); reason: row 6 definitely has this number in this quadrant; possiblities left: [6].
477: Number 2 cannot be at (6,0); reason: discovered number 5 in its place; possiblities left: [5].
478: Number 4 cannot be at (6,0); reason: discovered number 5 in its place; possiblities left: [5].
479: Number 7 cannot be at (6,0); reason: discovered number 5 in its place; possiblities left: [5].
480: Number 5 cannot be at (1,0); reason: discovered the number 5 at the same column at position (6,0); possiblities left: [9].
481: Number 5 cannot be at (2,0); reason: discovered the number 5 at the same column at position (6,0); possiblities left: [6].
482: Number 7 cannot be at (7,4); reason: row 6 definitely has this number in this quadrant; possiblities left: [2].
483: Number 7 cannot be at (8,3); reason: row 6 definitely has this number in this quadrant; possiblities left: [3].
484: Number 7 cannot be at (8,4); reason: row 6 definitely has this number in this quadrant; possiblities left: [1].
485: Discovered number 2 at position (6,1); reason: guess with reason: 2 possibilities at cell; discoveries: 25.
486: Number 4 cannot be at (6,1); reason: discovered number 2 in its place; possiblities left: [2].
487: Number 2 cannot be at (6,3); reason: discovered the number 2 at the same row at position (6,1); possiblities left: [9].
488: Number 2 cannot be at (6,4); reason: discovered the number 2 at the same row at position (6,1); possiblities left: [7].
489: Discovered number 7 at position (6,4); reason: it is the last possibility for the cell; discoveries: 26.
490: Number 2 cannot be at (6,5); reason: discovered the number 2 at the same row at position (6,1); possiblities left: [4].
491: Number 2 cannot be at (0,1); reason: discovered the number 2 at the same column at position (6,1); possiblities left: [1].
492: Number 2 cannot be at (1,1); reason: discovered the number 2 at the same column at position (6,1); possiblities left: [4].
493: Number 2 cannot be at (4,1); reason: discovered the number 2 at the same column at position (6,1); possiblities left: [6].
494: Number 2 cannot be at (5,1); reason: discovered the number 2 at the same column at position (6,1); possiblities left: [8].
495: Number 2 cannot be at (7,1); reason: discovered the number 2 at the same column at position (6,1); possiblities left: [3].
496: Number 2 cannot be at (7,0); reason: discovered the number 2 at the same quadrant at position (6,1); possiblities left: [4].
497: Number 2 cannot be at (8,0); reason: discovered the number 2 at the same quadrant at position (6,1); possiblities left: [7].
498: Number 2 cannot be at (8,2); reason: discovered the number 2 at the same quadrant at position (6,1); possiblities left: [6].
499: Number 7 cannot be at (6,3); reason: discovered the number 7 at the same row at position (6,4); possiblities left: [9].
500: Discovered number 7 at position (0,3); reason: it is the last possibility for the column; discoveries: 27.
501: Number 7 cannot be at (0,4); reason: discovered the number 7 at the same column at position (6,4); possiblities left: [5].
502: Number 7 cannot be at (1,4); reason: discovered the number 7 at the same column at position (6,4); possiblities left: [8].
503: Number 7 cannot be at (0,7); reason: row 1 definitely has this number in this quadrant; possiblities left: [4].
504: Number 7 cannot be at (0,8); reason: row 1 definitely has this number in this quadrant; possiblities left: [9].
505: Number 4 cannot be at (7,5); reason: row 6 definitely has this number in this quadrant; possiblities left: [6].
506: Number 2 cannot be at (0,3); reason: discovered number 7 in its place; possiblities left: [7].
507: Number 3 cannot be at (0,3); reason: discovered number 7 in its place; possiblities left: [7].
508: Number 4 cannot be at (0,3); reason: discovered number 7 in its place; possiblities left: [7].
509: Number 4 cannot be at (0,2); reason: hidden combination along quadrant 0 of numbers [2 9] at indexes [2 3] found at cell; possiblities left: [2].
510: Number 5 cannot be at (0,2); reason: hidden combination along quadrant 0 of numbers [2 9] at indexes [2 3] found at cell; possiblities left: [2].
511: Discovered number 5 at position (2,2); reason: it is the last possibility for the column; discoveries: 28.
512: Number 6 cannot be at (0,2); reason: hidden combination along quadrant 0 of numbers [2 9] at indexes [2 3] found at cell; possiblities left: [2].
513: Number 1 cannot be at (1,0); reason: hidden combination along quadrant 0 of numbers [2 9] at indexes [2 3] found at cell; possiblities left: [9].
514: Number 4 cannot be at (1,0); reason: hidden combination along quadrant 0 of numbers [2 4 9] at indexes [2 3] found at cell; possiblities left: [9].
515: Number 4 cannot be at (2,2); reason: discovered number 5 in its place; possiblities left: [5].
516: Number 6 cannot be at (2,2); reason: discovered number 5 in its place; possiblities left: [5].
517: Number 5 cannot be at (2,7); reason: discovered the number 5 at the same row at position (2,2); possiblities left: [8].
518: Number 5 cannot be at (2,8); reason: discovered the number 5 at the same row at position (2,2); possiblities left: [3].
519: Number 4 cannot be at (3,0); reason: column 2 definitely has this number in this quadrant; possiblities left: [1].
520: Number 4 cannot be at (5,0); reason: column 2 definitely has this number in this quadrant; possiblities left: [2].
521: Number 4 cannot be at (5,1); reason: column 2 definitely has this number in this quadrant; possiblities left: [8].
522: Discovered number 2 at position (0,2); reason: guess with reason: 2 possibilities at cell; discoveries: 29.
523: Number 9 cannot be at (0,2); reason: discovered number 2 in its place; possiblities left: [2].
524: Discovered number 9 at position (1,0); reason: it is the last possibility for the quadrant; discoveries: 30.
525: Number 2 cannot be at (0,4); reason: discovered the number 2 at the same row at position (0,2); possiblities left: [5].
526: Number 2 cannot be at (0,5); reason: discovered the number 2 at the same row at position (0,2); possiblities left: [3].
527: Number 2 cannot be at (3,2); reason: discovered the number 2 at the same column at position (0,2); possiblities left: [4].
528: Number 2 cannot be at (4,2); reason: discovered the number 2 at the same column at position (0,2); possiblities left: [9].
529: Number 2 cannot be at (5,2); reason: discovered the number 2 at the same column at position (0,2); possiblities left: [7].
530: Number 2 cannot be at (1,0); reason: discovered the number 2 at the same quadrant at position (0,2); possiblities left: [9].
531: Number 9 cannot be at (1,7); reason: discovered the number 9 at the same row at position (1,0); possiblities left: [7].
532: Number 9 cannot be at (1,8); reason: discovered the number 9 at the same row at position (1,0); possiblities left: [5].
533: Number 9 cannot be at (3,0); reason: discovered the number 9 at the same column at position (1,0); possiblities left: [1].
534: Number 9 cannot be at (4,0); reason: discovered the number 9 at the same column at position (1,0); possiblities left: [3].
535: Number 9 cannot be at (5,0); reason: discovered the number 9 at the same column at position (1,0); possiblities left: [2].
536: Number 1 cannot be at (1,1); reason: failed guess with reason: 2 possibilities at cell; discoveries: 31; possiblities left: [4].
537: Discovered number 4 at position (1,1); reason: it is the last possibility for the cell; discoveries: 31.
538: Number 4 cannot be at (1,5); reason: discovered the number 4 at the same row at position (1,1); possiblities left: [2].
539: Number 4 cannot be at (1,7); reason: discovered the number 4 at the same row at position (1,1); possiblities left: [7].
540: Number 4 cannot be at (1,8); reason: discovered the number 4 at the same row at position (1,1); possiblities left: [5].
541: Number 4 cannot be at (0,1); reason: discovered the number 4 at the same column at position (1,1); possiblities left: [1].
542: Number 4 cannot be at (7,1); reason: discovered the number 4 at the same column at position (1,1); possiblities left: [3].
543: Discovered number 4 at position (7,0); reason: it is the last possibility for the row; discoveries: 32.
544: Number 4 cannot be at (2,0); reason: discovered the number 4 at the same quadrant at position (1,1); possiblities left: [6].
545: Number 3 cannot be at (7,0); reason: discovered number 4 in its place; possiblities left: [4].
546: Number 6 cannot be at (7,0); reason: discovered number 4 in its place; possiblities left: [4].
547: Number 7 cannot be at (7,0); reason: discovered number 4 in its place; possiblities left: [4].
548: Discovered number 7 at position (7,8); reason: it is the last possibility for the row; discoveries: 33.
549: Number 2 cannot be at (7,8); reason: discovered number 7 in its place; possiblities left: [7].
550: Number 7 cannot be at (1,8); reason: discovered the number 7 at the same column at position (7,8); possiblities left: [5].
551: Discovered number 7 at position (1,7); reason: it is the last possibility for the row; discoveries: 34.
552: Number 7 cannot be at (8,8); reason: discovered the number 7 at the same column at position (7,8); possiblities left: [2].
553: Number 7 cannot be at (8,7); reason: discovered the number 7 at the same quadrant at position (7,8); possiblities left: [5].
554: Number 2 cannot be at (8,3); reason: row 7 definitely has this number in this quadrant; possiblities left: [3].
555: Number 2 cannot be at (8,4); reason: row 7 definitely has this number in this quadrant; possiblities left: [1].
556: Number 2 cannot be at (8,5); reason: row 7 definitely has this number in this quadrant; possiblities left: [8].
557: Number 5 cannot be at (1,7); reason: discovered number 7 in its place; possiblities left: [7].
558: Number 8 cannot be at (1,7); reason: discovered number 7 in its place; possiblities left: [7].
559: Number 2 cannot be at (3,4); reason: column 3 definitely has this number in this quadrant; possiblities left: [3].
560: Number 2 cannot be at (5,4); reason: column 3 definitely has this number in this quadrant; possiblities left: [6].
561: Number 2 cannot be at (5,5); reason: column 3 definitely has this number in this quadrant; possiblities left: [9].
562: Number 6 cannot be at (5,0); reason: naked combination along row 5 of numbers [6 8] at indexes [1 4] found at cell; possiblities left: [2].
563: Number 6 cannot be at (5,2); reason: naked combination along row 5 of numbers [6 8] at indexes [1 4] found at cell; possiblities left: [7].
564: Number 6 cannot be at (5,5); reason: naked combination along row 5 of numbers [6 8] at indexes [1 4] found at cell; possiblities left: [9].
565: Number 8 cannot be at (5,5); reason: naked combination along row 5 of numbers [6 8] at indexes [1 4] found at cell; possiblities left: [9].
566: Discovered number 9 at position (5,5); reason: it is the last possibility for the cell; discoveries: 35.
567: Number 6 cannot be at (5,6); reason: naked combination along row 5 of numbers [9] at indexes [1 4] found at cell; possiblities left: [5].
568: Number 8 cannot be at (5,6); reason: naked combination along row 5 of numbers [9] at indexes [5 8] found at cell; possiblities left: [5].
569: Discovered number 5 at position (5,6); reason: it is the last possibility for the cell; discoveries: 36.
570: Number 6 cannot be at (5,8); reason: naked combination along row 5 of numbers [9] at indexes [5 8] found at cell; possiblities left: [4].
571: Number 9 cannot be at (5,2); reason: discovered the number 9 at the same row at position (5,5); possiblities left: [7].
572: Number 9 cannot be at (5,8); reason: discovered the number 9 at the same row at position (5,5); possiblities left: [4].
573: Number 9 cannot be at (6,5); reason: discovered the number 9 at the same column at position (5,5); possiblities left: [4].
574: Discovered number 9 at position (6,3); reason: it is the last possibility for the row; discoveries: 37.
575: Discovered number 4 at position (6,5); reason: it is the last possibility for the cell; discoveries: 38.
576: Number 9 cannot be at (3,3); reason: discovered the number 9 at the same quadrant at position (5,5); possiblities left: [2].
577: Number 9 cannot be at (4,3); reason: discovered the number 9 at the same quadrant at position (5,5); possiblities left: [8].
578: Number 5 cannot be at (5,8); reason: discovered the number 5 at the same row at position (5,6); possiblities left: [4].
579: Number 5 cannot be at (0,6); reason: discovered the number 5 at the same column at position (5,6); possiblities left: [6].
580: Number 5 cannot be at (1,6); reason: discovered the number 5 at the same column at position (5,6); possiblities left: [1].
581: Number 4 cannot be at (6,3); reason: discovered number 9 in its place; possiblities left: [9].
582: Discovered number 4 at position (2,3); reason: it is the last possibility for the column; discoveries: 39.
583: Number 4 cannot be at (0,5); reason: discovered the number 4 at the same column at position (6,5); possiblities left: [3].
584: Number 4 cannot be at (2,5); reason: discovered the number 4 at the same column at position (6,5); possiblities left: [1].
585: Number 4 cannot be at (2,7); reason: row 0 definitely has this number in this quadrant; possiblities left: [8].
586: Discovered number 8 at position (2,7); reason: it is the last possibility for the cell; discoveries: 40.
